001, The Hundred, Series, NOT DEFINED, Jason Rothenberg, 7.6, https://www.youtube.com/watch?v=aDrsItJ_HU4, NOT DEFINED, Eliza Taylor, Bob Morley, Marie Avgeropoulos, 7, 100
027, Me Before You, Movie, 2016, Thea Sharrock, 7.4, https://www.youtube.com/watch?v=T0MmkG_nG1U, 01:46, Emilia Clarke, Sam Claflin, Janet McTeer, NOT DEFINED, NOT DEFINED
028, The Fault in Our Stars, Movie, 2014, Josh Boone, 7.7, https://www.youtube.com/watch?v=9ItBvH5J6ss, 02:06 Shailene Woodley, Ansel Elgort, Nat Wolff, NOT DEFINED, NOT DEFINED
029, Joker, Movie, 2019, Todd Phillips, 8.4, https://www.youtube.com/watch?v=7N2MjRgU4Kk, 02:02, Joaquin Phoenix, Robert De Niro, Zazie Beetz, NOT DEFINED, NOT DEFINED
030, Parasite, Movie, 2019, Bong Joon Ho, 8.5, https://www.youtube.com/watch?v=SEUXfv87Wpk, 02:12, Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, NOT DEFINED, NOT DEFINED
031, Interstellar, Movie, 2014, Christopher Nolan, 8.6, https://www.youtube.com/watch?v=2LqzF5WauAw, 02:49, Matthew McConaughey, Anne Hathaway, Jessica Chastain, NOT DEFINED, NOT DEFINED
032, Black Swan, Movie, 2010, Darren Aronofsky, 8.0, https://www.youtube.com/watch?v=5jaI1XOB-bs, 01:48, Natalie Portman, Mila Kunis, Vincent Cassel, NOT DEFINED, NOT DEFINED
033, Léon: The Professional, Movie, 1994, Luc Besson, 8.5, https://www.youtube.com/watch?v=aNQqoExfQsg, 01:50, Jean Reno, Gary Oldman, Natalie Portman, NOT DEFINED, NOT DEFINED
034, Memento, Movie, 2000, Christopher Nolan, 8.4, https://www.youtube.com/watch?v=Vx-PG31bwUM, 01:53, Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, NOT DEFINED, NOT DEFINED
035, The Shining, Movie, 1980, Stanley Kubrick, 8.4, https://www.youtube.com/watch?v=S014oGZiSdI, 02:26, Jack Nicholson, Shelley Duvall, Danny Lloyd, NOT DEFINED, NOT DEFINED
036, Shutter Island, Movie, 2010, Martin Scorsese, 8.2, https://www.youtube.com/watch?v=5iaYLCiq5RM, 02:18, Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, NOT DEFINED, NOT DEFINED
037, The Shawshank Redemption, Movie, 1994, Frank Darabont, 9.3, https://www.youtube.com/watch?v=P9mwtI82k6E, 02:22, Tim Robbins, Morgan Freeman, Bob Gunton, NOT DEFINED, NOT DEFINED
038, The Silence of the Lambs, Movie, 1991, Jonathan Demme, 8.6, https://www.youtube.com/watch?v=RuX2MQeb8UM, 01:58, Jodie Foster, Anthony Hopkins, Lawrence, A. Bonney, NOT DEFINED, NOT DEFINED
039, One Flew Over the Cuckoo's Nest, Movie, 1975, Milos Forman, 8.7, https://www.youtube.com/watch?v=OXrcDonY-B8, 02:13, Jack Nicholson, Louise Fletcher, Michael Berryman, NOT DEFINED, NOT DEFINED
040, Dead Poets Society, Movie, 1989, Peter Weir, 8.1, https://www.youtube.com/watch?v=aQwVQzs9pHk, 02:08, Robin Williams, Robert Sean Leonard, Ethan Hawke, NOT DEFINED, NOT DEFINED
041, Citizenfour, Documentary, 2014, Laura Poitras, 8.0, https://www.youtube.com/watch?v=SJPnK_NgHVI, 01:54, Edward Snowden, Glenn Greenwald, William Binney, NOT DEFINED, NOT DEFINED
042, Wildcat, Documentary, 2022, Trevor Frost, 8.0, https://www.youtube.com/watch?v=tm-dXwxPRMw, 01:46, Dante Cueva Altamirano, Cristian De La Cruz, Erick Scott Vargas Laura, NOT DEFINED, NOT DEFINED
043, Free Solo, Documentary, 2018, Jimmy Chin, 8.1, https://www.youtube.com/watch?v=89H0BHXjkXI, 01:40, Alex Honnold, Tommy Caldwell, Jimmy Chin, NOT DEFINED, NOT DEFINED
044, Planet Earth II, Documentary, 2016, David Attenborough, 9.5, https://www.youtube.com/watch?v=c8aFcHFu8QM, 04:58, Matt Damon(voice), Gylfi Zoega, Andri Snær Magnason, NOT DEFINED, NOT DEFINED
045, Inside Job, Documentary, 2010, Charles Ferguson, 8.2, https://www.youtube.com/watch?v=FzrBurlJUNk, 01:49, Jeremy Clarkson, Kaleb Cooper, Charlie Ireland, NOT DEFINED, NOT DEFINED
046, The Act of Killing, Documentary, 2012, Joshua Oppenheimer, 8.2, https://www.youtube.com/watch?v=Q3FcB1UZHlg, 01:57, Anwar Congo, Herman Koto, Syamsul Arifin, NOT DEFINED, NOT DEFINED
047, For Sama, Documentary, 2019, Waad Al-Kateab, 8.5, https://www.youtube.com/watch?v=vsvBqtg2RM0, 01:40, Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab, NOT DEFINED, NOT DEFINED
048, Stutz, Documentary, 2022, Jonah Hill, 7.9, https://www.youtube.com/watch?v=5CmcpXkWwxs, 01:36, Jonah Hill, Phil Stutz, ..., NOT DEFINED, NOT DEFINED
049, Good Night Oppy, Documentary, 2022, Ryan White, 7.7, https://www.youtube.com/watch?v=W4t58Yruhds, 01:45, Angela Bassett, Jon Stewart, David Letterman, NOT DEFINED, NOT DEFINED
050, Grizzly Man, Documentary, 2005, Werner Herzog, 7.8, https://www.youtube.com/watch?v=uWA7GtDmNFU, 01:43, Timothy Treadwell, Amie Huguenard, Werner Herzog(voice), NOT DEFINED, NOT DEFINED
051, Bao, short, 2018, Domee Shi, 7.5, https://www.youtube.com/watch?v=qdvLf33lNrk, 00:08, Sindy Lau(voice), Daniel Kai Lin(voice), Sharmaine Yeoh(voice), NOT DEFINED, NOT DEFINED
052, Paperman, short, 2012, John Kahrs, 8.2, https://www.youtube.com/watch?v=W7Vp0s3wqsA, 00:07, John Kahrs(voice), Kari Wahlgren(voice), Jack Goldenberg(voice), NOT DEFINED, NOT DEFINED
053, The Big Shave, short, 1967, Martin Scorsese, 7.0, https://www.youtube.com/watch?v=AlwOrKsmYUg, 00:06, Peter Bernuth, ..., ..., NOT DEFINED, NOT DEFINED
054, Prada Paradoxe, short, 2022, Emma Watson, 7.4, https://www.youtube.com/watch?v=dzOqyG73KuE, 00:02, Emma Watson, ..., ..., NOT DEFINED, NOT DEFINED
055, Other Side of the Box, short, 2018, Caleb J. Phillips, 7.4, https://www.youtube.com/watch?v=TGZg1YqXv9o, 00:15, Nick Tag, Teagan Rose, Josh Schell, NOT DEFINED, NOT DEFINED
056, All Too Well: The Short Film, short, 2021, Taylor Swift, 8.4, https://www.youtube.com/watch?v=t0Yf43ONyNo, 00:10, Sadie Sink, Dylan O'Brien, Taylor Swift, NOT DEFINED, NOT DEFINED
057, The Neighbors' Window, short, 2019, Marshall Curry, 7.3, https://www.youtube.com/watch?v=Jljl9h3K5iE, 00:21, Maria Dizzia, Greg Keller, Juliana Canfield, NOT DEFINED, NOT DEFINED
058, If Anything Happens I Love You, short, 2020, Michael Govier, 7.8, https://www.youtube.com/watch?v=3kH75xhTpaM, 00:13, Michael Govier, Will McCormack, ..., NOT DEFINED, NOT DEFINED
059, Fauve, short, 2018, Jérémy Comte, 7.6, https://www.youtube.com/watch?v=0oU3v0lsLEs, 00:17, Félix Grenier, Alexandre Perreault, Louise Bombardier, NOT DEFINED, NOT DEFINED
060, Feast, short, 2014, Patrick Osborne, 8.2, https://www.youtube.com/watch?v=qbAYLAbhyxc, 00:06, Steve Apostolina(voice), Kirk Baily(voice), Ben Bledsoe(voice), NOT DEFINED, NOT DEFINED
